Player,Valoration,Game_Day
Jeffery Taylor,0,2022-02-24
Nigel Williams-Goss,-0.067,2022-02-24
Juan Nunez,-0.029,2022-02-24
Walter Tavares,0.085,2022-03-06
Thomas Heurtel,0.008,2022-03-06
Rudy Fernandez,-0.023,2022-03-06
Gabriel Deck,0.201,2022-03-06
Sergio Llull,-0.015,2022-03-06
Adam Hanga,0.05,2022-03-06
Guerschon Yabusele,0.002,2022-03-06
Anthony Randolph,0,2022-03-06
Nigel Williams-Goss,0,2022-03-06
Jeffery Taylor,0,2022-03-06
Vincent Poirier,0,2022-03-06
Alberto Abalde,0,2022-03-06
Sergio Llull,0.07,2022-03-08
Walter Tavares,0.074,2022-03-08
Guerschon Yabusele,-0.018,2022-03-08
Trey Thompkins,0,2022-03-08
Alberto Abalde,0.8,2022-03-08
Adam Hanga,-0.05,2022-03-08
Vincent Poirier,0,2022-03-08
Thomas Heurtel,-0.173,2022-03-08
Nigel Williams-Goss,0.1,2022-03-08
Rudy Fernandez,0.042,2022-03-08
Sergio Llull,-0.023,2022-03-10
Guerschon Yabusele,0.21,2022-03-10
Gabriel Deck,0.141,2022-03-10
Nigel Williams-Goss,0.42,2022-03-10
Thomas Heurtel,-0.133,2022-03-10
Walter Tavares,0.046,2022-03-10
Vincent Poirier,0,2022-03-10
Trey Thompkins,0,2022-03-10
Alberto Abalde,0.05,2022-03-10
Rudy Fernandez,0.035,2022-03-10
Adam Hanga,0.441,2022-03-10
Guerschon Yabusele,0.145,2022-03-13
Alberto Abalde,0.115,2022-03-13
Vincent Poirier,0.09,2022-03-13
Anthony Randolph,-0.265,2022-03-13
Gabriel Deck,0.109,2022-03-13
Adam Hanga,0,2022-03-13
Walter Tavares,0.17,2022-03-13
Sergio Llull,-0.117,2022-03-13
Thomas Heurtel,0,2022-03-13
Juan Nunez,0.023,2022-03-13
Rudy Fernandez,0.096,2022-03-17
Guerschon Yabusele,-0.034,2022-03-17
Vincent Poirier,0,2022-03-17
Sergio Llull,0.216,2022-03-17
Gabriel Deck,0.082,2022-03-17
Walter Tavares,0.097,2022-03-17
Thomas Heurtel,0.071,2022-03-17
Adam Hanga,0,2022-03-17
Anthony Randolph,0,2022-03-17
Nigel Williams-Goss,0,2022-03-17
Juan Nunez,0.06,2022-03-17
Gabriel Deck,0.09,2022-03-20
Guerschon Yabusele,0.111,2022-03-20
Rudy Fernandez,0.16,2022-03-20
Walter Tavares,0.047,2022-03-20
Vincent Poirier,0,2022-03-20
Sergio Llull,-0.017,2022-03-20
Anthony Randolph,0,2022-03-20
Thomas Heurtel,-0.118,2022-03-20
Nigel Williams-Goss,-0.155,2022-03-20
Juan Nunez,0.028,2022-03-20
Gabriel Deck,0.161,2022-03-22
Guerschon Yabusele,0.074,2022-03-22
Adam Hanga,0.11,2022-03-22
Nigel Williams-Goss,0,2022-03-22
Vincent Poirier,0,2022-03-22
Rudy Fernandez,-0.007,2022-03-22
Walter Tavares,0.047,2022-03-22
Thomas Heurtel,-0.042,2022-03-22
Trey Thompkins,0.11,2022-03-22
Anthony Randolph,0,2022-03-22
Guerschon Yabusele,0.12,2022-03-24
Vincent Poirier,0.7,2022-03-24
Thomas Heurtel,0.149,2022-03-24
Gabriel Deck,0.002,2022-03-24
Adam Hanga,0.049,2022-03-24
Nigel Williams-Goss,0.5,2022-03-24
Walter Tavares,-0.008,2022-03-24
Sergio Llull,-0.005,2022-03-24
Rudy Fernandez,0,2022-03-24
Trey Thompkins,-0.287,2022-03-24
Thomas Heurtel,0.454,2022-03-27
Gabriel Deck,0.192,2022-03-27
Walter Tavares,0.065,2022-03-27
Guerschon Yabusele,0.11,2022-03-27
Vincent Poirier,-0.17,2022-03-27
Jeffery Taylor,0,2022-03-27
Adam Hanga,0,2022-03-27
Nigel Williams-Goss,0,2022-03-27
Rudy Fernandez,-0.025,2022-03-27
Fabien Causeur,0.15,2022-03-27
Sergio Llull,0,2022-03-27
Juan Nunez,0.088,2022-03-27
Thomas Heurtel,0.295,2022-03-31
Sergio Llull,0.105,2022-03-31
Walter Tavares,0.115,2022-03-31
Gabriel Deck,0.028,2022-03-31
Rudy Fernandez,0.076,2022-03-31
Trey Thompkins,0,2022-03-31
Vincent Poirier,0,2022-03-31
Jeffery Taylor,0,2022-03-31
Fabien Causeur,0.004,2022-03-31
Guerschon Yabusele,0.36,2022-03-31
Nigel Williams-Goss,0.09,2022-03-31
Sergio Llull,0.084,2022-04-03
Guerschon Yabusele,0.003,2022-04-03
Fabien Causeur,0.078,2022-04-03
Walter Tavares,0.12,2022-04-03
Thomas Heurtel,0.777,2022-04-03
Nigel Williams-Goss,0.25,2022-04-03
Vincent Poirier,0,2022-04-03
Gabriel Deck,-0.081,2022-04-03
Jeffery Taylor,0,2022-04-03
Rudy Fernandez,0.002,2022-04-03
Gabriel Deck,0.129,2022-04-08
Fabien Causeur,0.103,2022-04-08
Guerschon Yabusele,0.022,2022-04-08
Sergio Llull,-0.006,2022-04-08
Walter Tavares,0.054,2022-04-08
Jeffery Taylor,0,2022-04-08
Adam Hanga,0.3,2022-04-08
Alberto Abalde,0.168,2022-04-08
Anthony Randolph,0.155,2022-04-08
Rudy Fernandez,0.213,2022-04-08
Nigel Williams-Goss,0.33,2022-04-08
Vincent Poirier,0,2022-04-08
Gabriel Deck,0.049,2022-04-10
Vincent Poirier,0.001,2022-04-10
Walter Tavares,0.082,2022-04-10
Guerschon Yabusele,0.045,2022-04-10
Adam Hanga,0.08,2022-04-10
