,Player,Points,Rebounds,Assists,Turnovers,Steals,Blocked_shots
3,Nigel Williams-Goss,9,2,7,0,0,0
4,Vincent Poirier,8,3,1,0,2,1
5,Rudy Fernandez,6,1,0,0,0,1
6,Walter Tavares,5,3,1,1,0,2
7,Thomas Heurtel,5,1,2,1,0,0
8,Trey Thompkins,0,0,0,0,0,0
9,Anthony Randolph,0,0,0,0,0,0
0,Guerschon Yabusele,14,7,3,3,3,1
1,Vincent Poirier,13,4,1,1,2,0
2,Thomas Heurtel,11,1,5,4,0,0
3,Gabriel Deck,10,6,0,1,0,0
4,Adam Hanga,8,7,2,2,1,2
5,Nigel Williams-Goss,7,3,4,1,0,0
6,Walter Tavares,6,12,2,1,0,2
7,Sergio Llull,3,2,3,1,0,0
8,Rudy Fernandez,2,1,4,0,2,0
9,Trey Thompkins,0,1,0,1,0,0
0,Thomas Heurtel,21,4,6,0,2,0
1,Gabriel Deck,16,10,2,0,0,0
2,Walter Tavares,14,8,1,1,0,2
3,Guerschon Yabusele,14,2,4,1,2,1
4,Vincent Poirier,8,7,0,0,0,3
5,Jeffery Taylor,6,2,0,1,1,0
6,Adam Hanga,5,4,1,1,0,0
7,Nigel Williams-Goss,4,2,0,1,0,0
8,Rudy Fernandez,2,0,1,0,1,0
9,Fabien Causeur,2,1,1,1,0,0
10,Sergio Llull,0,0,6,1,0,0
11,Juan Nunez,0,0,0,0,0,0
0,Thomas Heurtel,18,4,0,4,0,0
1,Sergio Llull,15,0,5,0,1,0
2,Walter Tavares,12,12,2,0,2,1
3,Gabriel Deck,12,3,0,3,0,0
4,Rudy Fernandez,9,4,6,0,0,1
5,Trey Thompkins,8,2,2,0,0,0
6,Vincent Poirier,6,0,0,1,0,0
7,Jeffery Taylor,4,2,0,0,0,0
8,Fabien Causeur,2,0,0,0,0,0
9,Guerschon Yabusele,0,6,1,2,1,0
10,Nigel Williams-Goss,0,0,1,0,0,0
0,Sergio Llull,13,2,0,2,0,0
1,Guerschon Yabusele,13,4,1,3,0,1
2,Fabien Causeur,11,1,1,4,2,0
3,Walter Tavares,6,10,1,0,0,6
4,Thomas Heurtel,5,2,4,0,0,0
5,Nigel Williams-Goss,4,6,1,0,0,1
6,Vincent Poirier,4,4,0,0,0,0
