,Player,Puntos,Rebotes,Asistencias,Perdidas,Robos,Tapones
7,Vincent Poirier,0.03922,0.0625,0.18182,0.07692,0.0,0.0
8,Fabien Causeur,0.03922,0.0,0.0,0.23077,0.0,0.0
9,Guerschon Yabusele,0.0,0.03125,0.09091,0.0,0.0,0.0
10,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
11,Alberto Abalde,0.0,0.0625,0.0,0.15385,0.0,0.0
0,Walter Tavares,0.36765,0.1875,0.07692,0.14286,0.2,0.0
1,Sergio Llull,0.11765,0.03125,0.30769,0.14286,0.4,0.0
2,Fabien Causeur,0.11765,0.0625,0.0,0.14286,0.0,0.0
3,Alberto Abalde,0.10294,0.125,0.15385,0.14286,0.0,0.0
4,Nigel Williams-Goss,0.07353,0.125,0.07692,0.0,0.0,0.0
5,Guerschon Yabusele,0.05882,0.09375,0.15385,0.0,0.2,0.0
6,Thomas Heurtel,0.05882,0.0,0.23077,0.28571,0.0,0.0
7,Adam Hanga,0.04412,0.1875,0.0,0.0,0.0,0.0
8,Vincent Poirier,0.02941,0.125,0.0,0.0,0.2,0.0
9,Carlos Alocen,0.02941,0.0,0.0,0.0,0.0,0.0
10,Anthony Randolph,0.0,0.0,0.0,0.0,0.0,0.0
11,Trey Thompkins,0.0,0.0625,0.0,0.14286,0.0,1.0
0,Thomas Heurtel,0.17391,0.12121,0.36364,0.125,0.16667,0.0
1,Fabien Causeur,0.17391,0.15152,0.09091,0.1875,0.16667,0.0
2,Vincent Poirier,0.11957,0.09091,0.0,0.1875,0.33333,0.66667
3,Alberto Abalde,0.11957,0.18182,0.09091,0.125,0.0,0.0
4,Sergio Llull,0.08696,0.0303,0.09091,0.0625,0.0,0.0
5,Guerschon Yabusele,0.07609,0.06061,0.0,0.0625,0.0,0.0
6,Adam Hanga,0.07609,0.0303,0.0,0.0625,0.0,0.0
7,Walter Tavares,0.05435,0.24242,0.18182,0.0625,0.33333,0.33333
8,Carlos Alocen,0.05435,0.0303,0.0,0.0625,0.0,0.0
9,Nigel Williams-Goss,0.04348,0.06061,0.0,0.0,0.0,0.0
10,Trey Thompkins,0.02174,0.0,0.18182,0.0625,0.0,0.0
0,Nigel Williams-Goss,0.0411,0.03333,0.0625,0.2,0.15385,0.0
1,Fabien Causeur,0.08219,0.06667,0.0625,0.0,0.07692,0.0
2,Juan Nunez,0.0,0.0,0.0,0.0,0.0,0.0
3,Thomas Heurtel,0.16438,0.13333,0.625,0.3,0.0,0.0
4,Alberto Abalde,0.15068,0.13333,0.0,0.0,0.23077,0.0
5,Adam Hanga,0.06849,0.0,0.0,0.0,0.0,0.0
6,Vincent Poirier,0.0274,0.03333,0.0,0.0,0.0,0.0
7,Walter Tavares,0.15068,0.36667,0.0625,0.0,0.30769,0.83333
8,Sergio Llull,0.08219,0.06667,0.125,0.0,0.0,0.0
9,Guerschon Yabusele,0.23288,0.16667,0.0625,0.5,0.23077,0.16667
10,Trey Thompkins,0.0,0.0,0.0,0.0,0.0,0.0
11,Jeffery Taylor,0.0,0.0,0.0,0.0,0.0,0.0
0,Fabien Causeur,0.05319,0.08696,0.04348,0.14286,0.125,0.0
1,Thomas Heurtel,0.12766,0.13043,0.30435,0.14286,0.0,0.0
2,Rudy Fernandez,0.08511,0.21739,0.0,0.0,0.125,0.0
3,Alberto Abalde,0.07447,0.04348,0.08696,0.14286,0.125,0.0
4,Adam Hanga,0.03191,0.0,0.04348,0.0,0.0,0.0
5,Gabriel Deck,0.02128,0.0,0.04348,0.28571,0.0,0.0
6,Vincent Poirier,0.12766,0.13043,0.08696,0.0,0.0,0.2
7,Walter Tavares,0.15957,0.13043,0.0,0.0,0.0,0.4
8,Sergio Llull,0.02128,0.04348,0.08696,0.0,0.25,0.0
9,Guerschon Yabusele,0.05319,0.21739,0.21739,0.0,0.125,0.0
10,Trey Thompkins,0.11702,0.0,0.0,0.0,0.25,0.4
11,Jeffery Taylor,0.12766,0.0,0.08696,0.28571,0.0,0.0
0,Thomas Heurtel,0.16949,0.03571,0.14286,0.07143,0.0,0.0
1,Rudy Fernandez,0.10169,0.07143,0.14286,0.0,0.0,0.0
2,Alberto Abalde,0.13559,0.0,0.28571,0.14286,0.11111,0.0
3,Adam Hanga,0.05085,0.10714,0.14286,0.0,0.22222,0.0
4,Gabriel Deck,0.13559,0.17857,0.0,0.14286,0.11111,0.0
5,Vincent Poirier,0.0678,0.07143,0.14286,0.0,0.0,0.33333
6,Walter Tavares,0.08475,0.14286,0.0,0.35714,0.11111,0.33333
7,Sergio Llull,0.10169,0.0,0.14286,0.14286,0.0,0.0
8,Guerschon Yabusele,0.0678,0.17857,0.0,0.07143,0.11111,0.0
9,Trey Thompkins,0.05085,0.03571,0.0,0.0,0.0,0.0
10,Jeffery Taylor,0.0339,0.17857,0.0,0.07143,0.33333,0.33333
0,Walter Tavares,0.25532,0.375,0.0,0.28571,0.14286,1.0
1,Vincent Poirier,0.21277,0.09375,0.0,0.07143,0.14286,0.0
2,Trey Thompkins,0.14894,0.1875,0.0,0.07143,0.28571,0.0
3,Sergio Llull,0.12766,0.0625,0.33333,0.21429,0.14286,0.0
4,Gabriel Deck,0.08511,0.0625,0.0,0.07143,0.0,0.0
5,Alberto Abalde,0.06383,0.03125,0.16667,0.14286,0.0,0.0
6,Guerschon Yabusele,0.06383,0.0625,0.0,0.07143,0.0,0.0
